candidate_id,rank,score,reasoning
CAND_0081846,1,0.08417684648843499,"Strong candidate with 6.7 years of experience and high semantic match to the job description (score: 0.084). Demonstrates core competencies in key required areas including Python, Pytorch."
CAND_0080766,2,0.08361843985483357,"Strong candidate with 8.8 years of experience and high semantic match to the job description (score: 0.084). Demonstrates core competencies in key required areas including Python, Milvus."
CAND_0008425,3,0.08256176234818109,"Strong candidate with 7.8 years of experience and high semantic match to the job description (score: 0.083). Demonstrates core competencies in key required areas including Python, Nlp."
CAND_0055905,4,0.08233909721385209,"Strong candidate with 8.1 years of experience and high semantic match to the job description (score: 0.082). Demonstrates core competencies in key required areas including Llms, Python."
CAND_0005538,5,0.08228531908153083,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.082). Demonstrates core competencies in key required areas including Python, Pytorch."
CAND_0033861,6,0.07759993003361072,"Strong candidate with 8.0 years of experience and high semantic match to the job description (score: 0.078). Demonstrates core competencies in key required areas including Pinecone, Weaviate, Milvus."
CAND_0002025,7,0.07673306940443705,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.077). Demonstrates core competencies in key required areas including Pinecone, Weaviate, Python."
CAND_0064904,8,0.07254446661204732,"Strong candidate with 4.9 years of experience and high semantic match to the job description (score: 0.073). Demonstrates core competencies in key required areas including Llms, Weaviate, Python."
CAND_0039754,9,0.07137300884077503,"Strong candidate with 16.2 years of experience and high semantic match to the job description (score: 0.071). Demonstrates core competencies in key required areas including Llms, Weaviate, Python."
CAND_0086022,10,0.07121339687740542,"Strong candidate with 5.3 years of experience and high semantic match to the job description (score: 0.071). Demonstrates core competencies in key required areas including Pinecone, Nlp, Pytorch."
CAND_0071974,11,0.068096530053686,"Strong candidate with 7.8 years of experience and high semantic match to the job description (score: 0.068). Demonstrates core competencies in key required areas including Pinecone, Weaviate, Rag."
CAND_0055992,12,0.0674269379551822,"Strong candidate with 16.9 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Milvus, Rag."
CAND_0044222,13,0.06740652313770491,"Strong candidate with 7.7 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Weaviate, Nlp."
CAND_0077337,14,0.06731660432772502,"Strong candidate with 7.0 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Pinecone, Llms, Python."
CAND_0005260,15,0.06711609821857427,"Strong candidate with 5.2 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Python, Nlp, Rag."
CAND_0007411,16,0.06692898065432905,"Strong candidate with 8.0 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Pinecone, Pytorch."
CAND_0041611,17,0.06672904956879575,"Strong candidate with 6.4 years of experience and high semantic match to the job description (score: 0.067). Demonstrates core competencies in key required areas including Weaviate, Nlp, Pytorch."
CAND_0008239,18,0.06634876741605032,"Strong candidate with 4.0 years of experience and high semantic match to the job description (score: 0.066). Demonstrates core competencies in key required areas including Weaviate, Python, Milvus."
CAND_0046064,19,0.06541720532093852,"Strong candidate with 8.9 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Pinecone, Python."
CAND_0007460,20,0.0652682665329085,"Strong candidate with 4.7 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Weaviate, Nlp, Rag."
CAND_0062247,21,0.06457840524184491,"Strong candidate with 7.3 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Pinecone, Rag."
CAND_0082618,22,0.06456650688894297,"Strong candidate with 3.7 years of experience and high semantic match to the job description (score: 0.065). Demonstrates core competencies in key required areas including Llms, Pytorch."
CAND_0049896,23,0.06445682385806062,"Strong candidate with 7.3 years of experience and high semantic match to the job description (score: 0.064). Demonstrates core competencies in key required areas including Nlp, Pytorch."
CAND_0061741,24,0.06438342467255102,"Strong candidate with 2.9 years of experience and high semantic match to the job description (score: 0.064). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0076904,25,0.06423201616408697,"Strong candidate with 4.2 years of experience and high semantic match to the job description (score: 0.064). Demonstrates core competencies in key required areas including Llms, Weaviate, Nlp."
CAND_0054123,26,0.06414868520658859,"Strong candidate with 4.7 years of experience and high semantic match to the job description (score: 0.064). Demonstrates core competencies in key required areas including Llms, Weaviate, Python."
CAND_0008407,27,0.06395880821222874,Strong candidate with 7.7 years of experience and high semantic match to the job description (score: 0.064).
CAND_0066376,28,0.06394818971306307,"Strong candidate with 5.7 years of experience and high semantic match to the job description (score: 0.064). Demonstrates core competencies in key required areas including Llms, Nlp."
CAND_0030031,29,0.06387321699429115,"Strong candidate with 5.7 years of experience and high semantic match to the job description (score: 0.064). Demonstrates core competencies in key required areas including Milvus, Pytorch, Python."
CAND_0075439,30,0.06283638633013733,Strong candidate with 4.3 years of experience and high semantic match to the job description (score: 0.063).
CAND_0000399,31,0.06277962265016239,"Strong candidate with 12.9 years of experience and high semantic match to the job description (score: 0.063). Demonstrates core competencies in key required areas including Gcp, Pinecone, Llms."
CAND_0013824,32,0.062277108782032055,"Strong candidate with 2.1 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0032515,33,0.06214638174895843,"Strong candidate with 5.1 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Nlp, Milvus, Pytorch."
CAND_0046822,34,0.062098402986981424,"Strong candidate with 1.3 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Gcp, Pinecone, Rag."
CAND_0058688,35,0.06195895002809568,Strong candidate with 6.7 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Milvus.
CAND_0046525,36,0.061938457557486844,"Strong candidate with 6.1 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Llms, Nlp."
CAND_0017828,37,0.06166323886572093,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0091969,38,0.06165750722214312,"Strong candidate with 11.6 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0079387,39,0.061647936770721265,Strong candidate with 6.9 years of experience and high semantic match to the job description (score: 0.062). Demonstrates core competencies in key required areas including Python.
CAND_0091899,40,0.06139923057490905,"Strong candidate with 5.8 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Nlp, Milvus, Pytorch."
CAND_0043278,41,0.06124796455197197,"Strong candidate with 3.7 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0093232,42,0.061153940516635114,"Strong candidate with 4.8 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0043860,43,0.061067069007624826,Strong candidate with 6.1 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Pytorch.
CAND_0018549,44,0.060980364699553605,"Strong candidate with 6.8 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Weaviate, Milvus."
CAND_0031225,45,0.060794388147777045,"Strong candidate with 4.9 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Aws, Rag."
CAND_0094164,46,0.060678784013997115,"Strong candidate with 9.8 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Llms, Aws, Rag."
CAND_0070853,47,0.06060567667324247,"Strong candidate with 14.1 years of experience and high semantic match to the job description (score: 0.061). Demonstrates core competencies in key required areas including Gcp, Llms, Rag."
CAND_0016777,48,0.06043419794073468,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0084838,49,0.060297538167213886,"Strong candidate with 1.3 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0080225,50,0.06026600556592038,"Strong candidate with 5.7 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0062972,51,0.06014753892537042,"Strong candidate with 3.1 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0093547,52,0.06011980671853587,"Strong candidate with 2.9 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Milvus, Pytorch, Weaviate."
CAND_0060054,53,0.0601114195516572,Strong candidate with 6.4 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Weaviate.
CAND_0064780,54,0.06003572214145951,"Strong candidate with 7.0 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0050394,55,0.059995931844414194,"Strong candidate with 14.6 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Aws, Rag."
CAND_0097622,56,0.05996115386540012,"Strong candidate with 4.1 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0011576,57,0.05977699553488115,"Strong candidate with 2.2 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0018136,58,0.05952003249205991,"Strong candidate with 5.1 years of experience and high semantic match to the job description (score: 0.060). Demonstrates core competencies in key required areas including Llms, Rag."
CAND_0099346,59,0.059394208501755405,"Strong candidate with 5.5 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Aws, Rag."
CAND_0020350,60,0.05929125298403996,"Strong candidate with 5.8 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Llms, Nlp."
CAND_0017448,61,0.05925631882068948,"Strong candidate with 6.8 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Llms, Rag."
CAND_0042506,62,0.05911441282270887,"Strong candidate with 4.2 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Nlp, Milvus."
CAND_0077881,63,0.05909332122538972,"Strong candidate with 4.6 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Weaviate, Milvus, Pytorch."
CAND_0068102,64,0.05907342145335552,"Strong candidate with 2.8 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0047232,65,0.05901528612081635,"Strong candidate with 2.6 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0004980,66,0.05895460517178048,"Strong candidate with 1.4 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0006557,67,0.05894204922137231,"Strong candidate with 7.9 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Weaviate."
CAND_0010497,68,0.058939200667270354,"Strong candidate with 8.9 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0062884,69,0.058889660549151665,"Strong candidate with 9.4 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Llms, Rag."
CAND_0019824,70,0.058879566936810554,"Strong candidate with 4.7 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0051630,71,0.05886647709347552,"Strong candidate with 6.0 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Python, Nlp."
CAND_0055288,72,0.058816832891214164,"Strong candidate with 3.9 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Aws, Llms."
CAND_0075249,73,0.058764009704484754,"Strong candidate with 6.2 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Milvus."
CAND_0085263,74,0.05875637319845501,"Strong candidate with 6.0 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Rag."
CAND_0020242,75,0.05871800003029177,"Strong candidate with 9.3 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Llms, Rag."
CAND_0042501,76,0.058706958897984246,"Strong candidate with 7.6 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Gcp, Pinecone, Llms."
CAND_0043045,77,0.05870426638087371,"Strong candidate with 4.9 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0005197,78,0.0586968979063481,"Strong candidate with 2.6 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0081852,79,0.05857616602863686,"Strong candidate with 5.9 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Weaviate, Milvus."
CAND_0052367,80,0.05853207242410318,"Strong candidate with 5.2 years of experience and high semantic match to the job description (score: 0.059). Demonstrates core competencies in key required areas including Llms, Rag."
CAND_0095289,81,0.058459751049222575,"Strong candidate with 1.4 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0063207,82,0.05844544446096656,"Strong candidate with 1.7 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Llms, Aws."
CAND_0001962,83,0.05840996666637181,"Strong candidate with 8.6 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Gcp, Llms, Rag."
CAND_0012572,84,0.058369882093825334,Strong candidate with 6.3 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Llms.
CAND_0034849,85,0.05828445030173447,"Strong candidate with 3.1 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Llms, Python, Pytorch."
CAND_0023056,86,0.05819004134328002,"Strong candidate with 10.1 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0083232,87,0.058170717809411215,"Strong candidate with 8.1 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Gcp, Pinecone, Llms."
CAND_0035150,88,0.058133211909035545,"Strong candidate with 2.8 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0049538,89,0.05812477494541614,"Strong candidate with 5.8 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Llms, Milvus, Pytorch."
CAND_0020815,90,0.05811507172128933,"Strong candidate with 1.3 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms."
CAND_0041915,91,0.0581147504260224,"Strong candidate with 6.1 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0047721,92,0.05806930310640365,"Strong candidate with 7.0 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Nlp, Milvus, Rag."
CAND_0081229,93,0.05806636763528549,"Strong candidate with 2.9 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0060618,94,0.05806459598359506,"Strong candidate with 6.0 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Rag."
CAND_0044175,95,0.05795019667556272,"Strong candidate with 10.9 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Aws, Rag."
CAND_0016433,96,0.05790686002791546,Strong candidate with 8.5 years of experience and high semantic match to the job description (score: 0.058).
CAND_0082344,97,0.057882891324707815,Strong candidate with 9.8 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Llms.
CAND_0096352,98,0.05781890739894374,"Strong candidate with 14.9 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0043591,99,0.0577922039183992,"Strong candidate with 14.5 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms, Rag."
CAND_0050395,100,0.05769049350125757,"Strong candidate with 15.0 years of experience and high semantic match to the job description (score: 0.058). Demonstrates core competencies in key required areas including Pinecone, Llms."
